,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
10,False,/qB3HdCZKHWU33k9QYTIZaM4v5qo.jpg,"[28, 12, 14, 35, 878]",616037,en,Thor: Love and Thunder,The fourth installment of the Marvel Studios' Thor movie series.,27.784,/ifx23jgqQ8ZjUb9eiGjwbKtf0qQ.jpg,2022-04-28,Thor: Love and Thunder,False,0,0
11,False,,[14],338953,en,Fantastic Beasts 3,The third instalment in the Fantastic Beasts franchise.,28.621,/x3QetXpgs0JR30FuA7mtSrU5ENR.jpg,2022-07-15,Fantastic Beasts 3,False,0,0
12,False,/ggEKIzP5An3vnSfj271ApaJYtQw.jpg,"[10751, 16, 28, 12, 35]",438148,en,Minions: The Rise of Gru,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",27.029,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,2022-06-23,Minions: The Rise of Gru,False,0,0
13,False,,"[28, 12, 878]",505642,en,Black Panther II,The sequel to Black Panther (2018).,25.942,/9kv13NQCzeb6zCS001B9JY6St14.jpg,2022-07-07,Black Panther II,False,0,0
14,False,,"[14, 28, 27, 53, 12, 878]",453395,en,Doctor Strange in the Multiverse of Madness,"Dr. Stephen Strange's continuing research on the Time Stone is hindered by a friend-turned-enemy, resulting in Strange unleashing unspeakable evil.",36.551,/kTMYjS6EkrTwugLtUYONIRX7UiL.jpg,2022-03-24,Doctor Strange in the Multiverse of Madness,False,0,0
15,False,/n4hD6a9pFXFV1ZOUoPqnwqFcOCf.jpg,"[12, 28]",335787,en,Uncharted,"A descendent of explorer Sir Francis Drake uncovers the location of the legendary El Dorado. With the help of his mentor and an ambitious journalist he works to uncover its secrets while surviving on an island filled with pirates, mercenaries, and a mysterious enemy.",15.128,/DKqfhnMN6ZFtAripdwQjZ2Dkix.jpg,2022-02-10,Uncharted,False,0,0
16,False,,"[28, 12, 53]",575265,en,Mission: Impossible 8,,13.884,/mRhEg5hBCSi2aOdercqLC3AmT0A.jpg,2022-11-02,Mission: Impossible 8,False,0,0
17,False,,"[12, 28, 14]",572802,en,Aquaman 2,A sequel to Aquaman (2018).,16.802,,2022-12-14,Aquaman 2,False,0,0
18,False,/6rW2EkvPEZLcMAOZY0MQ8kytzmS.jpg,"[27, 53]",585216,en,Escape Room 2,Sequel to the film about strangers who find themselves in a maze of deadly rooms.,19.466,/HI4gKHj5xYd0QGLPz7ZcMM8Zhr.jpg,2022-01-06,Escape Room 2,False,0,0
19,False,,"[27, 53]",616820,en,Halloween Ends,The third film in Blumhouse's 'Halloween' series. The saga of Michael Myers and Laurie Strode ends.,9.77,/tfnVnSV9Y24VWBoglBptMb1F7vy.jpg,2022-10-13,Halloween Ends,False,0,0
