,tmdb_id,imdb_id,film,year,nomination_count,oscar_cat,oscar_win,casts_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,director,genre_id_0,genre_id_1,starring_0,starring_1,starring_2,starring_3,producer_0,producer_1,screenplay_0
1521,37799,tt1285016,The Social Network,2010,8,Best Picture,False,163.38399999999982,107.75299999999979,7.3,8780,David Fincher,18,,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Scott Rudin,Michael De Luca,Aaron Sorkin
1522,10193,tt0435761,Toy Story 3,2010,5,Best Picture,False,184.406,215.31699999999933,7.8,11289,Lee Unkrich,16,10751,Tom Hanks,Tim Allen,Joan Cusack,Don Rickles,John Lasseter,Darla K. Anderson,Michael Arndt
1523,44264,tt1403865,True Grit,2010,12,Best Picture,False,84.68399999999995,107.80799999999974,7.3,3938,Ethan Coen,18,12,Jeff Bridges,Matt Damon,Josh Brolin,Hailee Steinfeld,Joel Coen,Ethan Coen,Joel Coen
1524,39013,tt1399683,Winter's Bone,2010,4,Best Picture,False,41.65400000000001,19.387,6.8,1254,Debra Granik,18,,Jennifer Lawrence,John Hawkes,Kevin Breznahan,Dale Dickey,Anne Rosellini,Alix Madigan,Debra Granik
1525,44115,tt1542344,127 Hours,2010,6,Best Adapted Screenplay,False,60.03000000000003,104.62699999999974,7.0,5780,Danny Boyle,12,18,James Franco,Kate Mara,Amber Tamblyn,Clémence Poésy,Danny Boyle,Christian Colson,Danny Boyle
1526,37799,tt1285016,The Social Network,2010,8,Best Adapted Screenplay,True,163.38399999999982,107.75299999999979,7.3,8780,David Fincher,18,,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Scott Rudin,Michael De Luca,Aaron Sorkin
1527,10193,tt0435761,Toy Story 3,2010,5,Best Adapted Screenplay,False,184.406,215.31699999999933,7.8,11289,Lee Unkrich,16,10751,Tom Hanks,Tim Allen,Joan Cusack,Don Rickles,John Lasseter,Darla K. Anderson,Michael Arndt
1528,44264,tt1403865,True Grit,2010,12,Best Adapted Screenplay,False,84.68399999999995,107.80799999999974,7.3,3938,Ethan Coen,18,12,Jeff Bridges,Matt Damon,Josh Brolin,Hailee Steinfeld,Joel Coen,Ethan Coen,Joel Coen
1529,39013,tt1399683,Winter's Bone,2010,4,Best Adapted Screenplay,False,41.65400000000001,19.387,6.8,1254,Debra Granik,18,,Jennifer Lawrence,John Hawkes,Kevin Breznahan,Dale Dickey,Anne Rosellini,Alix Madigan,Debra Granik
1530,44009,tt1431181,Another Year,2010,1,Best Original Screenplay,False,39.90500000000001,38.73100000000004,6.9,224,Mike Leigh,35,18,Jim Broadbent,Lesley Manville,Ruth Sheen,Peter Wight,Georgina Lowe,,
1531,45317,tt0964517,The Fighter,2010,7,Best Original Screenplay,False,121.30599999999984,84.66199999999992,7.4,3196,David O. Russell,18,,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,Mark Wahlberg,David Hoberman,Scott Silver
1532,27205,tt1375666,Inception,2010,8,Best Original Screenplay,False,181.252,535.7730000000067,8.3,28781,Christopher Nolan,28,878,Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Marion Cotillard,Christopher Nolan,Emma Thomas,
1533,39781,tt0842926,The Kids Are All Right,2010,4,Best Original Screenplay,False,51.206,13.164000000000001,6.6,1101,Lisa Cholodenko,35,18,Julianne Moore,Annette Bening,Mark Ruffalo,Mia Wasikowska,Gary Gilbert,Celine Rattray,Stuart Blumberg
1534,45269,tt1504320,The King's Speech,2010,12,Best Original Screenplay,True,107.62299999999992,88.08399999999985,7.7,6725,Tom Hooper,18,36,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Guy Pearce,Emile Sherman,Iain Canning,David Seidler
1535,55720,tt1554091,A Better Life,2011,1,Best Actor,False,17.43,28.69100000000002,7.1,148,Chris Weitz,18,,Demián Bichir,José Julián,Chelsea Rendon,Dolores Heredia,Paul Junger Witt,Chris Weitz,Eric Eason
1536,65057,tt1033575,The Descendants,2011,5,Best Actor,False,58.35599999999999,18.684,6.8,2021,Alexander Payne,35,18,George Clooney,Shailene Woodley,Amara Miller,Nick Krause,Jim Taylor,Alexander Payne,Alexander Payne
1537,74643,tt1655442,The Artist,2011,10,Best Actor,True,137.21299999999988,109.21799999999978,7.4,2405,Michel Hazanavicius,18,35,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,Thomas Langmann,Jean Dujardin,
1538,49517,tt1340800,Tinker Tailor Soldier Spy,2011,3,Best Actor,False,134.94399999999996,57.59200000000007,6.6,1858,Tomas Alfredson,18,53,Gary Oldman,Colin Firth,Tom Hardy,John Hurt,Tim Bevan,Eric Fellner,Peter Straughan
1539,60308,tt1210166,Moneyball,2011,6,Best Actor,False,127.78599999999977,145.2569999999996,7.2,3451,Bennett Miller,18,,Brad Pitt,Jonah Hill,Philip Seymour Hoffman,Chris Pratt,Brad Pitt,Michael De Luca,Steven Zaillian
1540,73873,tt1602098,Albert Nobbs,2011,3,Best Actress,False,57.04600000000001,21.033000000000012,6.3,333,Rodrigo García,18,,Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,Pauline Collins,Glenn Close,Bonnie Curtis,Glenn Close
1541,50014,tt1454029,The Help,2011,4,Best Actress,False,116.75099999999996,61.65600000000004,8.2,5514,Tate Taylor,18,,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,Chris Columbus,Michael Barnathan,Tate Taylor
