,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations
1746,446354,tt6294822,2017,2018,The Post,Best Actress,Meryl Streep,False,0.0,2,"[18, 36]","['Meryl Streep', 'Tom Hanks', 'Bob Odenkirk', 'Tracy Letts']",177.3309999999999,Steven Spielberg,"['Steven Spielberg', 'Kristie Macosko', 'Amy Pascal']","['Josh Singer', 'Liz Hannah']",149.6699999999996,50000000,179769467,116,70,3580,72,137942,88,83,20,110
1747,374720,tt5013056,2017,2018,Dunkirk,Best Director,Christopher Nolan,False,3.0,8,"[10752, 28, 18]","['Fionn Whitehead', 'Damien Bonnard', 'Aneurin Barnard', 'Lee Armstrong']",128.84799999999998,Christopher Nolan,"['Christopher Nolan', 'Emma Thomas']",[],190.8709999999993,100000000,525573161,107,75,12682,78,562621,92,94,60,229
1748,419430,tt5052448,2017,2018,Get Out,Best Director,Jordan Peele,False,1.0,4,"[9648, 53, 27]","['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford']",78.47699999999999,Jordan Peele,"['Sean McKittrick', 'Jason Blum', 'Jordan Peele', 'Edward H. Hamm Jr. \t']",[],74.54999999999997,4500000,255407969,104,76,12638,77,499228,98,85,147,202
1749,391713,tt4925292,2017,2018,Lady Bird,Best Director,Greta Gerwig,False,0.0,5,"[18, 35]","['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']",106.39599999999994,Greta Gerwig,"['Scott Rudin', 'Eli Bush', ""Evelyn O'Neill""]",[],80.64599999999997,10000000,76858273,94,73,6185,74,245872,99,94,117,220
1750,400617,tt5776858,2017,2018,Phantom Thread,Best Director,Paul Thomas Anderson,False,1.0,6,"[18, 10749]","['Daniel Day-Lewis', 'Vicky Krieps', 'Lesley Manville', 'Camilla Rutherford']",59.33700000000005,Paul Thomas Anderson,"['Paul Thomas Anderson', 'Daniel Lupi', 'JoAnne Sellar', 'Megan Ellison']",[],92.1099999999998,35000000,47756590,130,73,2499,75,114103,91,90,54,121
1751,399055,tt5580390,2017,2018,The Shape of Water,Best Director,Guillermo del Toro,True,4.0,13,"[18, 14, 10749]","['Sally Hawkins', 'Doug Jones', 'Michael Shannon', 'Richard Jenkins']",86.72099999999993,Guillermo del Toro,"['Guillermo del Toro', 'J. Miles Dale']","['Guillermo del Toro', 'Vanessa Taylor']",90.28699999999986,19500000,194989655,123,73,9678,73,375755,92,87,132,350
1752,398818,tt5726616,2017,2018,Call Me by Your Name,Best Picture,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers",False,1.0,4,"[10749, 18]","['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar']",33.955000000000005,Luca Guadagnino,"['James Ivory', 'Howard Rosenman', 'Luca Guadagnino', 'Peter Spears', 'Marco Morabito', 'Emilie Georges', 'Rodrigo Teixeira']",['James Ivory'],88.05399999999986,4000000,41063475,132,83,8926,79,217978,94,93,94,258
1753,399404,tt4555426,2017,2018,Darkest Hour,Best Picture,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers",False,2.0,6,"[18, 36]","['Gary Oldman', 'Kristin Scott Thomas', 'Lily James', 'Stephen Dillane']",88.71099999999993,Joe Wright,"['Tim Bevan', 'Eric Fellner', 'Douglas Urbanski', 'Lisa Bruce', 'Anthony McCarten']",['Anthony McCarten'],77.20599999999992,30000000,150847207,125,74,3892,74,174282,84,75,51,77
1754,374720,tt5013056,2017,2018,Dunkirk,Best Picture,"Emma Thomas and Christopher Nolan, Producers",False,3.0,8,"[10752, 28, 18]","['Fionn Whitehead', 'Damien Bonnard', 'Aneurin Barnard', 'Lee Armstrong']",128.84799999999998,Christopher Nolan,"['Christopher Nolan', 'Emma Thomas']",[],190.8709999999993,100000000,525573161,107,75,12682,78,562621,92,94,60,229
1755,419430,tt5052448,2017,2018,Get Out,Best Picture,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers",False,1.0,4,"[9648, 53, 27]","['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford']",78.47699999999999,Jordan Peele,"['Sean McKittrick', 'Jason Blum', 'Jordan Peele', 'Edward H. Hamm Jr. \t']",[],74.54999999999997,4500000,255407969,104,76,12638,77,499228,98,85,147,202
1756,391713,tt4925292,2017,2018,Lady Bird,Best Picture,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers",False,0.0,5,"[18, 35]","['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']",106.39599999999994,Greta Gerwig,"['Scott Rudin', 'Eli Bush', ""Evelyn O'Neill""]",[],80.64599999999997,10000000,76858273,94,73,6185,74,245872,99,94,117,220
1757,400617,tt5776858,2017,2018,Phantom Thread,Best Picture,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers",False,1.0,6,"[18, 10749]","['Daniel Day-Lewis', 'Vicky Krieps', 'Lesley Manville', 'Camilla Rutherford']",59.33700000000005,Paul Thomas Anderson,"['Paul Thomas Anderson', 'Daniel Lupi', 'JoAnne Sellar', 'Megan Ellison']",[],92.1099999999998,35000000,47756590,130,73,2499,75,114103,91,90,54,121
1758,446354,tt6294822,2017,2018,The Post,Best Picture,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers",False,0.0,2,"[18, 36]","['Meryl Streep', 'Tom Hanks', 'Bob Odenkirk', 'Tracy Letts']",177.3309999999999,Steven Spielberg,"['Steven Spielberg', 'Kristie Macosko', 'Amy Pascal']","['Josh Singer', 'Liz Hannah']",149.6699999999996,50000000,179769467,116,70,3580,72,137942,88,83,20,110
1759,399055,tt5580390,2017,2018,The Shape of Water,Best Picture,"Guillermo del Toro and J. Miles Dale, Producers",True,4.0,13,"[18, 14, 10749]","['Sally Hawkins', 'Doug Jones', 'Michael Shannon', 'Richard Jenkins']",86.72099999999993,Guillermo del Toro,"['Guillermo del Toro', 'J. Miles Dale']","['Guillermo del Toro', 'Vanessa Taylor']",90.28699999999986,19500000,194989655,123,73,9678,73,375755,92,87,132,350
1760,359940,tt5027774,2017,2018,"Three Billboards outside Ebbing, Missouri",Best Picture,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",False,2.0,7,"[80, 18]","['Frances McDormand', 'Sam Rockwell', 'Woody Harrelson', 'Abbie Cornish']",98.96799999999999,Martin McDonagh,"['Graham Broadbent', 'Martin McDonagh', 'Peter Czernin']",[],136.80499999999947,15000000,160192031,115,81,7653,81,440890,90,88,128,228
1761,398818,tt5726616,2017,2018,Call Me by Your Name,Best Adapted Screenplay,Screenplay by James Ivory,True,1.0,4,"[10749, 18]","['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar']",33.955000000000005,Luca Guadagnino,"['James Ivory', 'Howard Rosenman', 'Luca Guadagnino', 'Peter Spears', 'Marco Morabito', 'Emilie Georges', 'Rodrigo Teixeira']",['James Ivory'],88.05399999999986,4000000,41063475,132,83,8926,79,217978,94,93,94,258
1762,371638,tt3521126,2017,2018,The Disaster Artist,Best Adapted Screenplay,Screenplay by Scott Neustadter & Michael H. Weber,False,0.0,1,"[35, 18]","['James Franco', 'Dave Franco', 'Alison Brie', 'Seth Rogen']",243.89999999999972,James Franco,"['James Franco', 'Seth Rogen', 'Evan Goldberg', 'Vince Jolivette', 'James Weaver']","['Scott Neustadter', 'Michael H. Weber']",79.63699999999992,10000000,29820616,104,72,2759,74,139683,91,76,31,79
1763,263115,tt3315342,2017,2018,Logan,Best Adapted Screenplay,Screenplay by Scott Frank & James Mangold and Michael Green; Story by James Mangold,False,0.0,1,"[28, 18, 878]","['Hugh Jackman', 'Dafne Keen', 'Patrick Stewart', 'Elizabeth Rodriguez']",136.98099999999988,James Mangold,"['Lauren Shuler Donner', 'Simon Kinberg', 'Hutch Parker']","['James Mangold', 'Scott Frank', 'Michael Green']",213.0859999999991,97000000,619021436,137,78,15519,81,654851,93,77,26,74
1764,396371,tt4209788,2017,2018,Molly's Game,Best Adapted Screenplay,Written for the screen by Aaron Sorkin,False,0.0,1,"[80, 18]","['Jessica Chastain', 'Idris Elba', 'Kevin Costner', 'Michael Cera']",170.03799999999978,Aaron Sorkin,"['Mark Gordon', 'Matt Jackson', 'Amy Pascal']",[],127.50399999999965,30000000,59284015,140,71,2728,74,147435,81,71,7,50
